left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
1,1,1,0.000348806381226,1.936,1.694
0,1,1,0.000483274459839,1.936,1.694
0,1,1,0.000484943389893,1.936,1.694
1,0,1,0.000469207763672,1.782,1.782
1,1,0,0.000475645065308,1.694,1.936
1,1,1,0.000689268112183,1.694,1.936
1,1,1,0.000311136245728,1.694,1.936
1,1,1,0.000324487686157,1.694,1.936
1,1,1,0.000325202941895,1.694,1.936
1,1,1,0.000323057174683,1.694,1.936
1,1,1,0.00033164024353,1.694,1.936
1,1,1,0.000322580337524,1.694,1.936
1,1,1,0.000709533691406,1.694,1.936
1,1,0,0.000473737716675,1.694,1.936
1,0,0,0.000335216522217,1.694,1.936
1,0,0,0.000320672988892,1.694,1.936
1,0,1,0.000473976135254,1.782,1.782
1,0,1,0.000477313995361,1.782,1.782
1,0,1,0.001133680343628,1.782,1.782
1,0,1,0.000474691390991,1.782,1.782
1,0,1,0.000450849533081,1.782,1.782
1,0,1,0.00044584274292,1.782,1.782
1,0,1,0.000450372695923,1.782,1.782
1,0,0,0.000323057174683,1.782,1.782
1,0,0,0.000682353973389,1.782,1.782
1,1,0,0.001010656356812,1.694,1.936
1,1,0,0.000499248504639,1.694,1.936
1,1,0,0.000451803207397,1.694,1.936
1,1,0,0.000488758087158,1.694,1.936
1,1,0,0.000507593154907,1.694,1.936
1,1,0,0.000499486923218,1.694,1.936
1,0,1,0.001147031784058,1.782,1.782
1,0,1,0.000458002090454,1.782,1.782
0,1,1,0.000472784042358,1.936,1.694
0,0,1,0.000320196151733,1.936,1.694
1,0,1,0.000471591949463,1.782,1.782
1,0,0,0.000323295593262,1.782,1.782
1,0,0,0.000635147094727,1.782,1.782
1,1,0,0.000475168228149,1.694,1.936
1,1,0,0.000471115112305,1.694,1.936
1,0,0,0.00029730796814,1.694,1.936
0,0,1,0.000324249267578,1.694,1.936
0,1,1,0.000454902648926,1.936,1.694
1,1,1,0.000658988952637,1.936,1.694
1,1,1,0.00033974647522,1.936,1.694
0,1,1,0.000452280044556,1.936,1.694
1,0,0,0.000346183776855,1.936,1.694
